係	50591	
我	41066	
一	35420	
唔	30577	
個	23105	
你	22121	
有	21901	
人	21783	
好	21508	
都	21441	
嘅	21136	
佢	19083	
既	16400	
到	15869	
咁	15051	
就	14864	
會	13261	
呢	11919	
同	11858	
大	11683	
無	11407	
以	11294	
得	11195	
要	10698	
不	10605	
然	9794	
講	9409	
可	9368	
去	9131	
過	8696	
話	8650	
但	8573	
地	8300	
出	8151	
多	8083	
後	7889	
下	7728	
自	7674	
真	7673	
時	7594	
為	7503	
家	7394	
又	7370	
點	7311	
咗	7132	
知	6906	
果	6771	
啦	6760	
m	6722	
上	6718	
做	6615	
之	6507	
左	6482	
住	6384	
生	6291	
咩	6237	
的	6045	
經	6038	
呀	5852	
而	5765	
面	5682	
真係	5652	
如	5632	
可以	5605	
幾	5604	
日	5573	
事	5554	
想	5486	
一個	5468	
心	5414	
啲	5356	
開	5320	
樣	5286	
其	5228	
己	5109	
成	5075	
中	5075	
對	5066	
睇	5006	
自己	4988	
實	4924	
所	4904	
唔係	4900	
只	4810	
已	4756	
女	4725	
先	4675	
仲	4652	
但係	4562	
喺	4528	
度	4431	
用	4410	
年	4343	
是	4330	
已經	4300	
再	4286	
意	4217	
文	4144	
最	4137	
問	4133	
當	4133	
學	4122	
於	4040	
定	4035	
入	4022	
in	3969	
黎	3929	
呢個	3893	
嚟	3889	
來	3874	
手	3873	
見	3855	
港	3847	
d	3818	
頭	3794	
哋	3729	
能	3716	
仔	3706	
發	3706	
間	3686	
邊	3673	
老	3627	
本	3599	
似	3587	
打	3571	
解	3556	
覺	3529	
行	3501	
因	3487	
嘢	3449	
聲	3448	
D	3435	
都係	3415	
次	3404	
分	3353	
返	3322	
香	3292	
少	3286	
道	3271	
完	3264	
起	3209	
依	3175	
俾	3171	
明	3154	
食	3145	
身	3135	
野	3053	
前	3041	
理	3006	
就係	2979	
阿	2963	
埋	2959	
法	2951	
叫	2937	
香港	2937	
小	2912	
全	2906	
諗	2883	
死	2877	
應	2815	
其實	2807	
正	2793	
即	2783	
如果	2782	
望	2767	
咪	2766	
落	2759	
情	2758	
冇	2744	
兩	2742	
者	2737	
架	2720	
亦	2717	
聽	2706	
因為	2676	
十	2655	
方	2654	
力	2648	
口	2617	
依家	2608	
友	2588	
在	2569	
算	2563	
現	2540	
語	2497	
er	2495	
笑	2491	
好似	2485	
識	2483	
