我	97208829
有	74605593
你	66351091
一	60078724
係	59064295
的	57103632
到	49364119
都	45094923
佢	44526563
就	44188808
得	36983587
要	35737610
呢	34105687
同	32622773
唔	32275513
多	31304628
啦	30376319
以	30349315
地	29950872
嘅	28614937
好	28358707
既	28220501
可	27986638
個	27399520
又	26856283
是	25428585
用	25227467
咁	22651986
打	21254424
在	21107950
自	20869921
可以	19990848
比	19647052
呀	19214164
了	18776960
但	18282731
本	18237082
而	17302589
自己	17102668
人	17031339
其	16961134
去	16808488
啲	16298929
之	16118888
噉	16109365
會	15981363
咩	15684566
真係	15585091
他	15077990
如	14863998
冇	14850896
能	13991952
左	13812787
己	13701812
唔係	13516806
所	13175084
做	12443212
睇	12362068
因	11807184
先	11775058
由	11323085
一個	11152495
等	11129078
咗	11087101
話	10886555
其實	10772400
如果	10624760
及	10512761
起	10443657
已經	10440652
都係	10325739
叫	10265199
想	10052328
因爲	10044685
第	9989820
者	9987457
和	9786429
不過	9678320
覺得	9673275
好似	9660336
隻	9642357
下	9330187
向	9200406
上	9197576
無	9155024
被	9081466
所以	9070467
至	9033098
香港	9000047
對	8869724
即	8740726
啊	8684513
喺	8657413
望	8616190
咪	8566333
之後	8469344
講	8356757
喎	8345896
住	8272892
再	8255725
也	8099779
應該	8099396
㗎	8035487
或	7972605
於	7746223
喇	7732571
嚟	7621249
仲	7613597
囉	7583397
唔好	7505523
後	7442453
食	7408042
係咪	7399562
點解	7334839
年	7300290
度	7265664
嘢	7189972
爲	7128968
走	7093253
依	6890135
每	6828569
大	6819888
買	6818943
可能	6808311
嗰	6718704
最後	6685461
未	6651760
玩	6650938
唔會	6598354
而家	6555308
屌	6510816
回覆	6497498
搵	6448503
中	6434051
月	6334978
樓主	6199643
知	6192747
除	6179363
撚	6157721
但係	6132114
其他	6047455
出	5976429
大家	5945612
乜	5914697
任	5903853
問題	5834215
那	5751162
跟	5743151
她	5733612
把	5718641
點	5613016
過	5540270
見	5522493
幾	5516655
時	5515002
日	5498881
與	5440037
一定	5412760
時間	5393011
入	5296532
之前	5253703
開始	5248499
不	5240872
另	5209024
何	5167023
此	5091726
唔知	5089006
野	5083689
死	5071719
好多	5008956
最	4893860
亦	4870721
唔到	4863216
黎	4860381
完	4855145
說	4801627
畀	4800044
邊個	4722315
各	4702870
埋	4697304
今日	4694103
架	4655281
沒有	4637114
聽	4618048
哋	4549358
返	4527725
呢個	4509625
已	4508045
前	4482535
就係	4441552
仆街	4419597
巴打	4418759
開	4414293
同埋	4390735
一樣	4383081
佢地	4379706
只	4373500
新	4350568
希望	4336745
成日	4295965
仲有	4293388
雖然	4282805
公司	4251387
一齊	4194874
仔	4190628
事	4189714
幫	4188778
朋友	4178251
著	4171240
女	4118497
中國	4114909
都有	4114533
依家	4097378
將	4088345
兩	4083558
兩個	4045089
有冇	4005481
原來	3995635
個人	3941577
拎	3925584
然後	3919434
電話	3816735
快	3813359
元	3812332
即係	3797375
識	3794891
諗	3790706
知道	3777188
管	3732538
照	3723564
歲	3691465
都會	3673076
政府	3656198
請	3632691
屋企	3604155
仲要	3600171
有人	3599867
俾	3587884
表示	3587286
萬	3587217
見到	3565476
拿	3544538
更	3543244
來	3531863
或者	3514339
約	3507508
我們	3490995
時候	3476992
真	3460059
搞	3448074
我地	3440296
錢	3440296
哂	3438528
定	3424888
根本	3421946
繼續	3363185
只係	3353042
完全	3347104
嘛	3346224
手	3324441
幾多	3318494
一直	3310021
美國	3307647
落	3288703
需要	3268215
世界	3265037
編輯	3252089
鍾意	3242770
就算	3232485
嗎	3232192
以前	3208349
垃圾	3203839
若	3203230
吓	3194254
問	3192480
笑	3186415
他們	3174872
本帖	3162918
成	3134101
歡迎	3120671
不如	3120663
坐	3114111
次	3110294
日本	3101183
喂	3093455
以爲	3091714
一次	3086424
你地	3085543
發現	3078030
有咩	3074960
令	3064730
哈	3062014
高	3061556
三	3057752
且	3047046
感覺	3041242
像	3007578
咁多	3005912
吧	2997175
班	2989831
洗	2988644
狗	2985308
緊	2981237
連	2981214
故	2960511
人地	2953651
正	2952510
小	2934212
行	2914220
本身	2911351
間	2904472
條	2893487
哦	2883977
放	2883184
全部	2882696
今年	2865563
幾好	2865107
支持	2855642
出現	2850278
太	2847919
晒	2839317
都要	2839250
情況	2836284
位	2821576
地方	2800890
張	2798143
女仔	2791841
而且	2788692
今次	2785308
指	2782953
所有	2759413
姐姐	2741014
跟住	2737834
個個	2735950
這	2726496
往	2724187
分	2711853
推	2685594
讓	2675603
飲	2672935
入面	2661769
才	2642527
唔同	2629206
當然	2629164
有無	2626013
倒	2625448
又係	2624982
嘩	2623475
第一	2600768
按	2595459
要求	2569042
認爲	2568373
比人	2551710
從	2534866
驚	2528156
番	2524720
終於	2521223
任何	2516632
就是	2502984
送	2494965
帶	2494043
出黎	2493546
係咁	2489424
加	2473324
直接	2469204
機會	2467839
水	2464891
有時	2462303
當	2456133
有個	2454785
男人	2454230
工作	2451010
只有	2442769
字	2439646
靠	2421485
特別	2414296
着	2414287
車	2401968
波	2398443
幾時	2396952
上面	2392338
即刻	2389283
收	2386297
姐	2385366
唔洗	2384824
頭	2383653
突然	2373272
其中	2372996
生活	2370320
出嚟	2369157
算	2353983
淨係	2349082
利申	2342076
學生	2341353
邊	2337705
名	2331526
朝	2329395
並	2314720
老母	2313524
女人	2310616
市場	2309422
想問	2308564
咋	2300785
相信	2297115
決定	2294607
唔想	2286185
衫	2285009
唔識	2278456
發表	2278370
卻	2265270
噉樣	2264054
唔可以	2262639
邊度	2258328
記得	2255340
唔夠	2251201
個月	2250370
寫	2249623
少少	2243520
果	2242132
待	2240828
正常	2239906
另外	2237307
分鐘	2234366
試過	2220828
踢	2216593
幾個	2216164
愛	2216149
勁	2214930
睇下	2211366
瞓	2201250
附件	2198700
球員	2195846
結果	2193566
就會	2189892
內	2189442
跌	2188055
醫生	2173988
慢慢	2172675
影響	2167790
開心	2162901
蚊	2158622
定係	2158078
下載	2155821
很	2150905
都冇	2150868
大陸	2137696
無人	2132356
整	2126697
多謝	2116536
成爲	2115153
反而	2113763
讀	2113697
不是	2110888
這個	2109748
二	2108105
過去	2106004
唉	2104863
現在	2096668
有意	2092173
都好	2088318
抽	2087741
借	2085733
連登	2083991
平時	2081765
同佢	2073088
發生	2068779
方法	2066555
準備	2065365
似	2056462
唔錯	2054691
擺	2046073
一日	2045822
學校	2042193
同時	2037904
包括	2032321
好過	2027050
發展	2020382
諗住	2008736
國家	2008035
查詢	1998675
樣	1996660
只要	1993697
最好	1988482
乎	1987678
香港人	1985176
差	1983367
道	1981508
心	1977940
當時	1976079
關係	1968813
做咩	1966468
不會	1959417
便	1952257
場	1947836
今晚	1946095
選擇	1943331
學	1940927
成個	1931675
號	1930857
聲	1920683
馬	1917175
活動	1916005
比較	1914230
低	1912944
社會	1912105
接受	1910789
一陣	1909874
點知	1903105
啫	1895664
聽日	1892992
靚	1887411
屌你老母	1884379
揀	1883827
澳門	1877623
黃	1874146
成功	1857462
老	1853440
某	1851829
點樣	1850872
分別	1847075
對方	1846845
拍	1842572
左右	1841198
甚至	1837407
賣	1835875
明明	1832842
街	1830875
只是	1829022
銀行	1827682
竟然	1825330
長	1823801
一下	1815791
大學	1815187
落去	1808794
能力	1807824
星期	1807472
內容	1807067
台灣	1806348
男	1802166
沖	1800264
差唔多	1795339
該	1795170
房	1794473
教	1792416
升	1791291
面	1784174
您	1782890
生	1779697
一年	1778461
鐘	1777851
一般	1777500
優惠	1764391
投資	1762138
轉	1761390
鳩	1759010
原因	1755596
主要	1752276
由於	1744897
條女	1743108
日日	1735325
早	1729371
手機	1729182
服務	1727207
家	1726663
單位	1726627
試下	1723466
少	1720686
有關	1717972
機	1717227
表現	1716864
看	1711080
以上	1704891
又要	1704273
無限	1703954
微信	1702169
人士	1700719
昨日	1697072
相	1695807
記者	1690466
好撚	1689260
咁樣	1689037
信	1688006
資料	1682707
內地	1682537
件	1682506
返工	1680899
近	1678515
錯	1677291
一路	1676160
報道	1668075
各位	1666018
